CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
316903,NA,1,2025,124876.67
316903,NA,1,2025,102223.76
316903,NA,1,2025,102223.76
316903,NA,1,2025,102223.76
316903,NA,1,2025,102223.76
316903,NA,1,2025,102223.76
316903,NA,1,2025,18995.81
316903,NA,1,2025,18995.81
316903,NA,1,2025,18995.81
316903,NA,1,2025,18995.81
316903,NA,1,2025,18995.81
316903,NA,1,2025,3657.1
316903,NA,1,2025,3657.1
316903,NA,1,2025,3657.1
316903,NA,1,2025,3657.1
316903,NA,1,2025,3657.1
318213,NA,1,2025,10087318.51
318213,NA,1,2025,6720140.76
318213,NA,1,2025,6720140.76
318213,NA,1,2025,6656925.98
318213,NA,1,2025,50070.67
318213,NA,1,2025,54581.8
318213,NA,1,2025,291996.51
318213,NA,1,2025,365647.93
318213,NA,1,2025,29348.59
318213,NA,1,2025,31843.31
318213,NA,1,2025,274443.25
318213,NA,1,2025,350616.54
318213,NA,1,2025,6864.23
318213,NA,1,2025,7955.63
318213,NA,1,2025,302327.42
318213,NA,1,2025,632005.95
318213,NA,1,2025,477600.36
318213,NA,1,2025,485188.89
318213,NA,1,2025,1033357.33
318213,NA,1,2025,1213976.68
318213,NA,1,2025,88176.58
318213,NA,1,2025,91245.97
318213,NA,1,2025,1180981.38
318213,NA,1,2025,1390754.74
318213,NA,1,2025,28010.78
318213,NA,1,2025,28772.22
318213,NA,1,2025,1647498.05
318213,NA,1,2025,2450522.86
318213,NA,1,2025,85253.63
318213,NA,1,2025,85633.24
318213,NA,1,2025,455089.61
318213,NA,1,2025,600201.6
318213,NA,1,2025,1417.88
318213,NA,1,2025,1417.88
318213,NA,1,2025,569329.6
318213,NA,1,2025,690383.39
318213,NA,1,2025,0.3
318213,NA,1,2025,146016.98
318213,NA,1,2025,208259.66
318213,NA,1,2025,63214.78
318213,NA,1,2025,1494.04
318213,NA,1,2025,468.51
318213,NA,1,2025,2220.16
318213,NA,1,2025,1500634.49
318213,NA,1,2025,1339249.2
318213,NA,1,2025,58.76
318213,NA,1,2025,4761.19
318213,NA,1,2025,29.43
318213,NA,1,2025,638.42
318213,NA,1,2025,137.95
318213,NA,1,2025,1168.75
318213,NA,1,2025,10719.47
318213,NA,1,2025,4919584.58
318213,NA,1,2025,36317.88
318213,NA,1,2025,6109593.74
318213,NA,1,2025,0.02
318213,NA,1,2025,1423.12
318213,NA,1,2025,30525.59
318213,NA,1,2025,397666.29
312720,NA,1,2025,76263.74
312720,NA,1,2025,1703417.3
312720,NA,1,2025,1885260.08
312720,NA,1,2025,34475.32
312720,NA,1,2025,216034.82
312720,NA,1,2025,61543.54
312720,NA,1,2025,154521.79
312720,NA,1,2025,3738148.07
312720,NA,1,2025,2918203.76
312720,NA,1,2025,889057.56
312720,NA,1,2025,100.0
312720,NA,1,2025,100.0
312720,NA,1,2025,2421742.93
312720,NA,1,2025,2478778.78
312720,NA,1,2025,113988.18
312720,NA,1,2025,1526252.02
312720,NA,1,2025,1453898.82
312720,NA,1,2025,192062.3
312720,NA,1,2025,4444383.97
312720,NA,1,2025,4863778.21
312720,NA,1,2025,125823.77
312720,NA,1,2025,143760.49
312720,NA,1,2025,106026.22
312720,NA,1,2025,38057.08
312720,NA,1,2025,5059646.23
312720,NA,1,2025,4537021.79
312720,NA,1,2025,942352.44
312720,NA,1,2025,5884.51
312720,NA,1,2025,5884.51
312720,NA,1,2025,5049852.56
312720,NA,1,2025,5435743.38
312720,NA,1,2025,168298.39
312720,NA,1,2025,7566493.72
312720,NA,1,2025,3650918.98
312720,NA,1,2025,3373957.31
312720,NA,1,2025,298125.01
312720,NA,1,2025,108.25
312720,NA,1,2025,749102.62
312720,NA,1,2025,21523.94
312720,NA,1,2025,1702358.0
312720,NA,1,2025,3951181.39
312720,NA,1,2025,4075603.41
312720,NA,1,2025,459878.44
312720,NA,1,2025,13702.07
312720,NA,1,2025,13702.07
312720,NA,1,2025,305219.66
312720,NA,1,2025,2162305.91
312720,NA,1,2025,291943.02
312720,NA,1,2025,2585136.63
312720,NA,1,2025,2689518.29
312720,NA,1,2025,6846667.26
312720,NA,1,2025,6846667.26
312720,NA,1,2025,5266872.06
312720,NA,1,2025,192676.85
312720,NA,1,2025,202773.89
312720,NA,1,2025,2816.83
312720,NA,1,2025,186990.4
312720,NA,1,2025,199005.86
312720,NA,1,2025,9840.5
312720,NA,1,2025,86011.82
312720,NA,1,2025,89345.47
312720,NA,1,2025,3287.24
312720,NA,1,2025,2152707.09
312720,NA,1,2025,2436678.37
312720,NA,1,2025,13239.97
312720,NA,1,2025,2501.95
312720,NA,1,2025,2619.76
312720,NA,1,2025,630372.16
312720,NA,1,2025,824593.82
312720,NA,1,2025,502.67
312720,NA,1,2025,89854.49
312720,NA,1,2025,90247.93
312720,NA,1,2025,2155.2
312720,NA,1,2025,165398.13
312720,NA,1,2025,181658.79
312720,NA,1,2025,27737.28
312720,NA,1,2025,50599.5
312720,NA,1,2025,36074.21
312720,NA,1,2025,14721.53
312720,NA,1,2025,765469.48
312720,NA,1,2025,462682.31
312720,NA,1,2025,328368.27
314099,NA,1,2025,50002359.35
314099,NA,1,2025,27021654.72
314099,NA,1,2025,27021654.72
314099,NA,1,2025,26985879.95
314099,NA,1,2025,116685.03
314099,NA,1,2025,261632.0
314099,NA,1,2025,295342.64
314099,NA,1,2025,383148.74
314099,NA,1,2025,2062839.51
314099,NA,1,2025,2819600.49
314099,NA,1,2025,1303148.65
314099,NA,1,2025,1591626.16
314099,NA,1,2025,1537656.72
314099,NA,1,2025,1835779.4
314099,NA,1,2025,10337157.66
314099,NA,1,2025,12960288.89
314099,NA,1,2025,1875494.61
314099,NA,1,2025,2217107.85
314099,NA,1,2025,1194573.13
314099,NA,1,2025,1439428.74
314099,NA,1,2025,8262982.0
314099,NA,1,2025,10229431.34
314099,NA,1,2025,35774.77
314099,NA,1,2025,33478.6
314099,NA,1,2025,61329.54
314099,NA,1,2025,8777417.03
314099,NA,1,2025,361.34
314099,NA,1,2025,352016.71
314099,NA,1,2025,1934.83
314099,NA,1,2025,191637.93
314099,NA,1,2025,1321681.35
314099,NA,1,2025,1321681.35
314099,NA,1,2025,1317174.78
314099,NA,1,2025,50633.01
314099,NA,1,2025,52633.5
314099,NA,1,2025,81614.3
314099,NA,1,2025,81945.98
314099,NA,1,2025,447511.31
314099,NA,1,2025,454670.98
314099,NA,1,2025,57910.03
314099,NA,1,2025,59860.11
314099,NA,1,2025,90497.68
314099,NA,1,2025,91996.57
314099,NA,1,2025,589008.45
314099,NA,1,2025,597298.29
314099,NA,1,2025,4506.57
314099,NA,1,2025,410457.23
314099,NA,1,2025,4506.57
314099,NA,1,2025,4506.57
314099,NA,1,2025,9757.06
314099,NA,1,2025,5443296.7
314099,NA,1,2025,5443296.7
314099,NA,1,2025,5435346.52
314099,NA,1,2025,534702.63
314099,NA,1,2025,556353.36
314099,NA,1,2025,855453.08
314099,NA,1,2025,895507.01
314099,NA,1,2025,4045190.81
314099,NA,1,2025,4118219.41
314099,NA,1,2025,7950.18
314099,NA,1,2025,7950.18
314099,NA,1,2025,27026.8
314099,NA,1,2025,647637.57
314099,NA,1,2025,15550690.18
314099,NA,1,2025,15550690.18
314099,NA,1,2025,15396361.7
314099,NA,1,2025,1047486.44
314099,NA,1,2025,1123609.06
314099,NA,1,2025,2710607.89
314099,NA,1,2025,2928797.19
314099,NA,1,2025,11638267.37
314099,NA,1,2025,12728714.2
314099,NA,1,2025,154328.48
315648,NA,1,2025,10972413.86
315648,NA,1,2025,4082340.6
315648,NA,1,2025,4082340.6
315648,NA,1,2025,4082340.6
315648,NA,1,2025,147639.03
315648,NA,1,2025,151596.92
315648,NA,1,2025,569432.31
315648,NA,1,2025,791640.42
315648,NA,1,2025,48783.99
315648,NA,1,2025,49530.64
315648,NA,1,2025,151642.42
315648,NA,1,2025,193739.28
315648,NA,1,2025,6939.93
315648,NA,1,2025,8402.43
315648,NA,1,2025,1135447.1
315648,NA,1,2025,1585151.15
315648,NA,1,2025,156182.36
315648,NA,1,2025,156930.03
315648,NA,1,2025,1138606.97
315648,NA,1,2025,1356230.88
315648,NA,1,2025,94720.94
315648,NA,1,2025,95020.92
315648,NA,1,2025,139638.55
315648,NA,1,2025,174780.5
315648,NA,1,2025,4174.76
315648,NA,1,2025,4216.03
315648,NA,1,2025,479132.24
315648,NA,1,2025,1087097.4
315648,NA,1,2025,10000.0
315648,NA,1,2025,10000.0
315648,NA,1,2025,712216.46
315648,NA,1,2025,112734.8
315648,NA,1,2025,112734.8
315648,NA,1,2025,98788.74
315648,NA,1,2025,15175.94
315648,NA,1,2025,15785.94
315648,NA,1,2025,22643.0
315648,NA,1,2025,24547.44
315648,NA,1,2025,1920.28
315648,NA,1,2025,1920.28
315648,NA,1,2025,4762.41
315648,NA,1,2025,5979.68
315648,NA,1,2025,54287.11
315648,NA,1,2025,60553.35
315648,NA,1,2025,13946.06
315648,NA,1,2025,13732.06
315648,NA,1,2025,13932.06
315648,NA,1,2025,214.0
315648,NA,1,2025,214.0
315648,NA,1,2025,2320340.51
315648,NA,1,2025,2320340.51
315648,NA,1,2025,2235939.91
315648,NA,1,2025,173225.61
315648,NA,1,2025,173225.61
315648,NA,1,2025,385500.67
315648,NA,1,2025,385500.67
315648,NA,1,2025,35051.64
315648,NA,1,2025,35051.64
315648,NA,1,2025,118509.56
315648,NA,1,2025,118509.56
315648,NA,1,2025,13535.56
315648,NA,1,2025,13535.56
315648,NA,1,2025,1509606.86
315648,NA,1,2025,1509606.86
315648,NA,1,2025,510.01
315648,NA,1,2025,510.01
315648,NA,1,2025,84400.6
315648,NA,1,2025,84400.6
315648,NA,1,2025,84400.6
315648,NA,1,2025,4156184.28
315648,NA,1,2025,4156184.28
315648,NA,1,2025,4156184.28
315648,NA,1,2025,66607.62
315648,NA,1,2025,834173.96
315648,NA,1,2025,837796.16
315648,NA,1,2025,485.51
315648,NA,1,2025,485.51
315648,NA,1,2025,29973.96
315648,NA,1,2025,41775.6
315648,NA,1,2025,1070.97
315648,NA,1,2025,1070.97
315648,NA,1,2025,283529.9
315648,NA,1,2025,320965.89
315648,NA,1,2025,134242.12
315648,NA,1,2025,134242.12
315648,NA,1,2025,1156543.58
315648,NA,1,2025,1156543.58
315648,NA,1,2025,4254.8
318213,NA,1,2025,292.5
318213,NA,1,2025,443810.93
318213,NA,1,2025,303007.46
318213,NA,1,2025,303007.46
318213,NA,1,2025,299142.48
318213,NA,1,2025,168.76
318213,NA,1,2025,168.76
318213,NA,1,2025,82.88
318213,NA,1,2025,123.49
318213,NA,1,2025,452.16
318213,NA,1,2025,517.11
318213,NA,1,2025,609.81
318213,NA,1,2025,736.92
318213,NA,1,2025,9832.86
318213,NA,1,2025,9972.33
318213,NA,1,2025,79667.14
318213,NA,1,2025,80032.26
318213,NA,1,2025,5631.75
318213,NA,1,2025,5824.82
318213,NA,1,2025,59060.13
318213,NA,1,2025,59788.92
318213,NA,1,2025,368.79
318213,NA,1,2025,396.42
318213,NA,1,2025,143268.2
318213,NA,1,2025,164160.79
318213,NA,1,2025,3864.98
318213,NA,1,2025,570.16
318213,NA,1,2025,2290.5
318213,NA,1,2025,531.4
